#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 13:12:15.221

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
210,0.4756400190680928,0.4756401212807985,0.0003118218365263885,-0.006478207891490146,0.00655927978878907,0.0010280923413105
220,0.4755856232338962,0.4755859096530086,0.0005219517666635465,-0.006240280852337265,0.006260983139782457,0.0005087285726226377
230,0.4754170411031198,0.4754179482748194,0.0009287467558299282,-0.006330984838527716,0.006376347728973557,0.0007592373378121513
240,0.4756548542956011,0.4756548890603789,0.0001818571221953053,-0.006282670152416236,0.006315159558843653,0.0006397624634198607
250,0.4755190894862831,0.4755196183639034,0.0007092129646748122,-0.006568456078755083,0.00666893737402585,0.001153304140351707
260,0.4755177408292368,0.4755182849709004,0.0007193735223542065,-0.00737248538347852,0.007576148392333761,0.001744844902297035
270,0.4747656397498058,0.4747682683897255,0.001579867927997461,-0.007254889260678779,0.007450361207782602,0.001695424413453462
280,0.4725201257678728,0.4725219262433769,0.00130442515740555,-0.006737557480145207,0.006869695850155161,0.00134091024136253
290,0.4721667776217668,0.4721674781357476,0.0008133383538928054,-0.006629533134782751,0.006742138201803792,0.001227076993122104
300,0.4720094342997092,0.4720095542898657,0.0003365604215770454,-0.006685596402629195,0.006808637301385705,0.001288542837077001
310,0.4719910026534111,0.4719910515927929,0.0002149368029423513,-0.007531103409580566,0.007742578302907232,0.001797220134226065
320,0.4719730205594619,0.4719730591143687,0.000190771288065504,-0.006551135719582987,0.006648032238294415,0.001130908230147902
330,0.4719734701118105,0.4719735069177129,0.0001863940755229865,-0.00686700437501013,0.007019497337424698,0.001455195445194616
340,0.4719348086098193,0.4719349767367304,0.0003983589369011089,-0.006747585056508017,0.006881416714713293,0.001350552445015618
350,0.4719608826460459,0.4719609717713474,0.0002900469808500674,-0.006565265486276048,0.006665091354743385,0.001149230987137411
360,0.4719847089205289,0.4719847369402462,0.000162633600771205,-0.007582152889245482,0.007795386179163761,0.001810801824170245
370,0.4719402032380044,0.4719403613065253,0.0003862612276080199,-0.007700204810970723,0.007916155263232938,0.001836398655175789
380,0.470796092510481,0.4707992321731586,0.001719386995033646,-0.007490537305203681,0.007700356675633508,0.001785313365026714
390,0.4695616217608606,0.4695648795904502,0.001749146664670488,-0.00734604904579495,0.007548053308215815,0.001734552438081654
400,0.4686126167526794,0.4686137549380803,0.00103282976681191,-0.006947224985912206,0.007110748363799375,0.001516181812450051
410,0.4683338942964639,0.4683340429770027,0.0003731812545710771,-0.007736212926091372,0.007952627154935202,0.00184263078982435
420,0.4683019760797041,0.4683020043197425,0.0001626336007712002,-0.00719791439498131,0.007388647744388835,0.001667975975006072
430,0.468256571292482,0.4682567269945919,0.0003818599901540424,-0.006507379022727261,0.006594924098511755,0.001071000522740184
440,0.4674388355701364,0.4674414255824761,0.001556069203255511,-0.006699270370396601,0.006824758303002869,0.0013027288277849
450,0.4656743426013488,0.4656773299497862,0.00166801436037177,-0.006259424407211624,0.006285507733370377,0.000572025835668163
460,0.4650328313997039,0.4650343044246514,0.001170475131977246,-0.006935374213847273,0.007097341955481645,0.001507596546477895
470,0.464609802639544,0.464609818664161,0.0001220259317384781,-0.00803658441804881,0.008250587880217829,0.001866952399176132
480,0.4646133990583341,0.4646134257833225,0.0001575865345698958,-0.007327361289846083,0.00752812973368102,0.001726995603703673
490,0.4642272335907717,0.464228603297237,0.001127702044391923,-0.006665541249903548,0.006784923879162233,0.001267182659237591
500,0.4629896159747612,0.4629932262921665,0.001828412413393257,-0.00839985616173575,0.008597158160628476,0.001831268658888635
510,0.4617209792467038,0.4617234556943851,0.00151223737148078,-0.007362457807115736,0.007565503918098665,0.001740995282366166
520,0.4610147325069066,0.461015069511816,0.000557430410550007,-0.008393474976777723,0.008591190987032014,0.001832522957531397
530,0.4601569866255384,0.4601594347248807,0.001501008370749232,-0.008192011851671429,0.008400619724256804,0.001860471331052233
540,0.4581236613522122,0.4581263451618715,0.001568132869227552,-0.008432217885451961,0.008627356715007211,0.001824550744775039
550,0.4574124695365158,0.4574131039502891,0.0007618254489256842,-0.007329640284473958,0.00753056226005478,0.001727929759218703
560,0.457360771016411,0.4573612130877854,0.0006359028810572381,-0.006903924087982082,0.007061640011363521,0.001484113148477221
570,0.4572016294849587,0.4572018118624382,0.0004083707405936558,-0.006204728536141992,0.006215180729143717,0.0003602988880279896
580,0.4569683118159673,0.4569694058142378,0.0009999231719251666,-0.007035194178549343,0.007209485833185959,0.001575667747028159
590,0.4563510764411529,0.4563538130131667,0.001580405869554605,-0.007129088757218663,0.007313403407077308,0.001631552293481283
600,0.4544269923885669,0.4544296682169812,0.00155946930016064,-0.006618593960568807,0.006729086144355143,0.001214419335849799
610,0.4542876311604575,0.4542899860707735,0.00146274359235422,-0.008484178962968034,0.008675624649545764,0.001812503899070962
620,0.4540489188632801,0.4540506242296286,0.001244444621101579,-0.007642774146347594,0.007857634592086443,0.001824945130871708
630,0.4535512644132296,0.4535514722776306,0.000434228475606656,-0.007437664629836529,0.007644976225861229,0.001768277791546693
640,0.4530495639920435,0.4530513649817061,0.001277449966508641,-0.007702939604524378,0.007918931174731214,0.001836897492838705
650,0.4518465619068588,0.4518502970726423,0.001837241855671369,-0.00799647411259769,0.008211425007732448,0.00186652147702257
660,0.4504952075465777,0.4504972965888649,0.001371937137684971,-0.007265828434892719,0.00746215178889443,0.001700425380667618
670,0.4498222276805312,0.4498224721420093,0.0004689654170445933,-0.007697925816342901,0.007913841259854884,0.001835979741794398
680,0.4480028893252013,0.4480066718788429,0.001840979167602459,-0.008127744203164757,0.008338910419618758,0.001864725490351556
690,0.4470588293928576,0.447061543406802,0.00155777251459735,-0.007524722224622329,0.007735951972022489,0.001795413143465887
700,0.4466313051092084,0.4466328772895508,0.001185062199991439,-0.007390717340501791,0.007595463763728329,0.001751675477629929
710,0.4467149218460753,0.4467167497089171,0.001277916503136855,-0.007671489478659073,0.007886949205312532,0.001830906045110241
720,0.4466659206400633,0.4466676005778196,0.00122504887462471,-0.007452250195455036,0.007660293581367392,0.001773151086934034
730,0.4463265086167681,0.4463270153572509,0.000672565020892812,-0.007351518632901979,0.007553874657465721,0.001736719934477272
740,0.4455690129091562,0.445571171808008,0.001387040572870944,-0.007258535652083618,0.007454293473638343,0.001697100874600285
750,0.442671648021564,0.4426722659970553,0.000739676199831951,-0.007416242080334269,0.007622423055625753,0.001760876669397545
760,0.4425147542518556,0.4425147879198679,0.000172618735984949,-0.006965001144009731,0.007130810717136917,0.001528797091699759
770,0.4408873747494368,0.4408911689064144,0.001829099845863278,-0.006620872955196802,0.006731807409870351,0.001217075311859984
780,0.43924381136246,0.4392453764454226,0.00117256490153285,-0.006305915897620825,0.006344672808037279,0.000700212634269073
790,0.4388297736492745,0.4388298056987566,0.0001677155642427906,-0.007075760282925792,0.007254564895538078,0.00160072741032166
800,0.4381653352778454,0.4381676346070044,0.001419499181287044,-0.007113135794823497,0.00729585188560191,0.001622576315940901
